GP,Driver,Stint,Compound,StintLength,AirTemp,TrackTemp,FreshTyre,RaceProgress,YellowLaps,SCLaps,VSCLaps,RedFlagLaps,CircuitType_x,TrackLength_x,CircuitType_y,TrackLength_y,CircuitType,TrackLength,TrackAbrasiveness
Austrian Grand Prix,PER,3,MEDIUM,25,24.347368421052632,36.66315789473684,1,0.3661971830985915,2,0,3,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,PER,4,HARD,21,23.725,33.871428571428574,1,0.7183098591549296,2,0,3,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,PIA,1,MEDIUM,2,26.518181818181816,43.33636363636364,1,0.0140845070422535,1,6,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,PIA,2,MEDIUM,14,25.372,39.38,0,0.0422535211267605,4,1,3,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,PIA,3,HARD,8,24.706666666666667,36.79333333333333,1,0.2112676056338028,2,0,3,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,PIA,4,HARD,19,23.39565217391305,33.93913043478261,1,0.323943661971831,0,0,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,PIA,5,MEDIUM,29,23.94473684210526,35.25,1,0.5915492957746479,0,0,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,RUS,1,MEDIUM,2,26.66923076923077,43.900000000000006,1,0.0140845070422535,1,6,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,RUS,2,MEDIUM,14,25.677777777777777,40.55555555555556,0,0.0422535211267605,4,1,3,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,RUS,3,HARD,27,23.274193548387096,33.62903225806452,1,0.2112676056338028,0,0,1,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,RUS,4,MEDIUM,30,23.13529411764706,32.79705882352941,1,0.5915492957746479,1,0,2,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,SAI,1,MEDIUM,2,27.126315789473683,45.05789473684211,1,0.0140845070422535,3,6,3,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,SAI,2,MEDIUM,15,24.68095238095238,37.43333333333334,0,0.0422535211267605,2,1,2,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,SAI,3,MEDIUM,30,23.450000000000003,34.24166666666667,1,0.2253521126760563,1,0,1,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,SAI,4,HARD,26,23.24333333333333,33.00666666666667,1,0.647887323943662,0,0,2,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,SAR,1,MEDIUM,2,27.294117647058822,45.00588235294118,1,0.0140845070422535,3,6,1,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,SAR,2,MEDIUM,14,23.88,35.72,0,0.0422535211267605,2,1,2,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,SAR,3,HARD,29,23.059375,33.084375,1,0.2112676056338028,0,0,1,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,SAR,4,HARD,27,23.49375,33.953125,1,0.6197183098591549,0,0,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,STR,1,MEDIUM,2,26.37,42.9,1,0.0140845070422535,1,6,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,STR,2,MEDIUM,15,24.415,36.635000000000005,0,0.0422535211267605,2,1,2,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,STR,3,HARD,21,23.86206896551724,34.93448275862069,0,0.2253521126760563,3,0,4,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,STR,4,HARD,18,24.185185185185187,36.048148148148144,1,0.5211267605633803,1,0,3,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,STR,5,MEDIUM,17,24.15,35.38333333333333,1,0.7746478873239436,0,0,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,TSU,1,MEDIUM,1,26.94,43.89,1,0.0140845070422535,1,5,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,TSU,2,HARD,1,27.200000000000003,44.24444444444444,1,0.028169014084507,1,1,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,TSU,3,HARD,22,24.855882352941176,38.58529411764706,0,0.0422535211267605,2,1,5,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,TSU,4,HARD,20,24.228571428571428,36.48571428571429,1,0.3380281690140845,0,0,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,TSU,5,MEDIUM,27,22.6,31.3962962962963,1,0.6197183098591549,0,0,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,VER,1,MEDIUM,2,26.35,42.81,1,0.0140845070422535,1,6,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,VER,2,MEDIUM,24,23.98275862068965,35.86551724137931,0,0.0422535211267605,2,1,3,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,VER,3,HARD,25,24.339473684210525,36.63157894736842,1,0.352112676056338,2,0,3,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,VER,4,MEDIUM,20,24.223333333333336,35.39666666666667,1,0.704225352112676,1,0,3,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,VER,5,SOFT,5,24.35,34.425,0,0.9859154929577464,0,0,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,ZHO,1,MEDIUM,2,26.675,44.175,1,0.0140845070422535,1,5,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,ZHO,2,MEDIUM,8,24.344444444444445,36.68888888888889,0,0.0422535211267605,0,1,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,ZHO,3,HARD,30,24.242857142857144,36.61904761904762,1,0.1267605633802817,4,0,4,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,ZHO,4,HARD,32,23.35135135135135,33.597297297297295,1,0.5492957746478874,0,0,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Azerbaijan Grand Prix,ALB,1,MEDIUM,7,22.526666666666664,42.85333333333333,1,0.0196078431372549,1,0,0,0,Street,6.003,Street,6.003,Street,6.003,Low
Azerbaijan Grand Prix,ALB,2,HARD,44,24.704166666666666,40.36875,1,0.1568627450980392,4,6,0,0,Street,6.003,Street,6.003,Street,6.003,Low
Azerbaijan Grand Prix,ALO,1,MEDIUM,10,22.938888888888886,42.72777777777778,0,0.0196078431372549,2,0,0,0,Street,6.003,Street,6.003,Street,6.003,Low
Azerbaijan Grand Prix,ALO,2,HARD,40,24.69772727272728,40.27727272727273,0,0.2745098039215686,4,3,0,0,Street,6.003,Street,6.003,Street,6.003,Low
Azerbaijan Grand Prix,BOT,1,MEDIUM,6,22.37857142857143,42.85714285714285,1,0.0196078431372549,1,0,0,0,Street,6.003,Street,6.003,Street,6.003,Low
Azerbaijan Grand Prix,BOT,2,HARD,6,22.98,43.53,1,0.1372549019607843,2,6,0,0,Street,6.003,Street,6.003,Street,6.003,Low
Azerbaijan Grand Prix,BOT,3,HARD,22,23.98275862068965,41.189655172413794,1,0.2745098039215686,3,1,0,0,Street,6.003,Street,6.003,Street,6.003,Low
Azerbaijan Grand Prix,BOT,4,MEDIUM,16,24.55,36.62777777777777,1,0.6862745098039216,1,1,0,0,Street,6.003,Street,6.003,Street,6.003,Low
Azerbaijan Grand Prix,DEV,1,HARD,9,23.0125,43.05,0,0.0196078431372549,1,0,0,0,Street,6.003,Street,6.003,Street,6.003,Low
Azerbaijan Grand Prix,GAS,1,MEDIUM,5,22.33333333333333,42.75833333333333,1,0.0196078431372549,1,0,0,0,Street,6.003,Street,6.003,Street,6.003,Low
Azerbaijan Grand Prix,GAS,2,HARD,18,25.10625,41.85,1,0.1176470588235294,2,2,0,0,Street,6.003,Street,6.003,Street,6.003,Low
